nohup: ignoring input
WARNING:tensorflow:From /data3T/zml/experiment/lw-eg-recurren-bilater-distill/monodepth_model.py:240: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
/data3T/users/zml/.conda/envs/leftmono/lib/python2.7/site-packages/tensorflow/python/ops/gradients_impl.py:97: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2020-04-10 21:15:52.469327: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2020-04-10 21:15:52.910107: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:05:00.0
totalMemory: 10.92GiB freeMemory: 10.77GiB
2020-04-10 21:15:52.910145: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:05:00.0, compute capability: 6.1)
total number of samples: 29000
total number of steps: 145000
============================
2
number of trainable parameters: 23747176
batch    100 | examples/s: 9.29 | loss: 0.97023 | time elapsed: 0.02h | time left: 29.88h
batch    200 | examples/s: 9.28 | loss: 0.94758 | time elapsed: 0.03h | time left: 24.44h
batch    300 | examples/s: 9.28 | loss: 1.16834 | time elapsed: 0.05h | time left: 21.98h
batch    400 | examples/s: 9.46 | loss: 1.22322 | time elapsed: 0.06h | time left: 20.74h
batch    500 | examples/s: 9.55 | loss: 0.94333 | time elapsed: 0.07h | time left: 19.98h
batch    600 | examples/s: 9.46 | loss: 1.06912 | time elapsed: 0.08h | time left: 19.49h
batch    700 | examples/s: 9.53 | loss: 0.98499 | time elapsed: 0.09h | time left: 19.13h
batch    800 | examples/s: 9.46 | loss: 1.22363 | time elapsed: 0.10h | time left: 18.86h
batch    900 | examples/s: 9.50 | loss: 1.32397 | time elapsed: 0.12h | time left: 18.65h
batch   1000 | examples/s: 9.27 | loss: 1.27978 | time elapsed: 0.13h | time left: 18.48h
batch   1100 | examples/s: 9.36 | loss: 0.81574 | time elapsed: 0.14h | time left: 18.34h
batch   1200 | examples/s: 9.36 | loss: 1.29789 | time elapsed: 0.15h | time left: 18.22h
batch   1300 | examples/s: 9.38 | loss: 1.30505 | time elapsed: 0.16h | time left: 18.12h
batch   1400 | examples/s: 9.45 | loss: 1.40255 | time elapsed: 0.18h | time left: 18.02h
batch   1500 | examples/s: 9.42 | loss: 0.96193 | time elapsed: 0.19h | time left: 17.94h
batch   1600 | examples/s: 9.70 | loss: 0.94632 | time elapsed: 0.20h | time left: 17.87h
batch   1700 | examples/s: 9.45 | loss: 1.63794 | time elapsed: 0.21h | time left: 17.80h
batch   1800 | examples/s: 9.49 | loss: 0.91920 | time elapsed: 0.22h | time left: 17.74h
batch   1900 | examples/s: 9.24 | loss: 1.66356 | time elapsed: 0.23h | time left: 17.68h
batch   2000 | examples/s: 9.64 | loss: 1.06323 | time elapsed: 0.25h | time left: 17.64h
batch   2100 | examples/s: 9.68 | loss: 0.99859 | time elapsed: 0.26h | time left: 17.59h
batch   2200 | examples/s: 9.39 | loss: 1.25762 | time elapsed: 0.27h | time left: 17.54h
batch   2300 | examples/s: 9.54 | loss: 1.02553 | time elapsed: 0.28h | time left: 17.51h
batch   2400 | examples/s: 9.53 | loss: 1.42954 | time elapsed: 0.29h | time left: 17.47h
batch   2500 | examples/s: 9.42 | loss: 1.03199 | time elapsed: 0.31h | time left: 17.43h
batch   2600 | examples/s: 9.37 | loss: 1.16007 | time elapsed: 0.32h | time left: 17.40h
batch   2700 | examples/s: 9.49 | loss: 1.06031 | time elapsed: 0.33h | time left: 17.37h
batch   2800 | examples/s: 9.55 | loss: 0.95030 | time elapsed: 0.34h | time left: 17.33h
batch   2900 | examples/s: 9.40 | loss: 1.59158 | time elapsed: 0.35h | time left: 17.30h
batch   3000 | examples/s: 9.63 | loss: 1.26588 | time elapsed: 0.36h | time left: 17.27h
batch   3100 | examples/s: 9.59 | loss: 0.92445 | time elapsed: 0.38h | time left: 17.24h
batch   3200 | examples/s: 9.38 | loss: 1.18677 | time elapsed: 0.39h | time left: 17.21h
batch   3300 | examples/s: 9.35 | loss: 1.22691 | time elapsed: 0.40h | time left: 17.18h
batch   3400 | examples/s: 9.48 | loss: 1.32123 | time elapsed: 0.41h | time left: 17.15h
batch   3500 | examples/s: 9.41 | loss: 1.52362 | time elapsed: 0.42h | time left: 17.13h
batch   3600 | examples/s: 9.48 | loss: 1.36682 | time elapsed: 0.44h | time left: 17.10h
batch   3700 | examples/s: 9.58 | loss: 1.03266 | time elapsed: 0.45h | time left: 17.08h
batch   3800 | examples/s: 9.48 | loss: 1.19886 | time elapsed: 0.46h | time left: 17.06h
batch   3900 | examples/s: 9.59 | loss: 1.07889 | time elapsed: 0.47h | time left: 17.03h
batch   4000 | examples/s: 9.50 | loss: 0.96945 | time elapsed: 0.48h | time left: 17.01h
batch   4100 | examples/s: 9.41 | loss: 1.36603 | time elapsed: 0.49h | time left: 16.99h
batch   4200 | examples/s: 9.51 | loss: 0.94802 | time elapsed: 0.51h | time left: 16.97h
batch   4300 | examples/s: 9.28 | loss: 1.80588 | time elapsed: 0.52h | time left: 16.94h
batch   4400 | examples/s: 9.61 | loss: 0.92433 | time elapsed: 0.53h | time left: 16.92h
batch   4500 | examples/s: 9.40 | loss: 1.43239 | time elapsed: 0.54h | time left: 16.90h
batch   4600 | examples/s: 9.63 | loss: 1.34802 | time elapsed: 0.55h | time left: 16.89h
batch   4700 | examples/s: 9.68 | loss: 1.22970 | time elapsed: 0.57h | time left: 16.87h
batch   4800 | examples/s: 9.50 | loss: 0.93820 | time elapsed: 0.58h | time left: 16.85h
batch   4900 | examples/s: 9.43 | loss: 0.96044 | time elapsed: 0.59h | time left: 16.84h
batch   5000 | examples/s: 9.47 | loss: 0.94762 | time elapsed: 0.60h | time left: 16.82h
batch   5100 | examples/s: 9.37 | loss: 1.28200 | time elapsed: 0.61h | time left: 16.80h
batch   5200 | examples/s: 9.42 | loss: 1.02232 | time elapsed: 0.62h | time left: 16.79h
batch   5300 | examples/s: 9.50 | loss: 1.13819 | time elapsed: 0.64h | time left: 16.77h
batch   5400 | examples/s: 9.63 | loss: 0.72971 | time elapsed: 0.65h | time left: 16.75h
batch   5500 | examples/s: 9.78 | loss: 1.11110 | time elapsed: 0.66h | time left: 16.74h
batch   5600 | examples/s: 9.29 | loss: 0.91158 | time elapsed: 0.67h | time left: 16.72h
batch   5700 | examples/s: 9.48 | loss: 1.08738 | time elapsed: 0.68h | time left: 16.71h
batch   5800 | examples/s: 9.45 | loss: 1.07360 | time elapsed: 0.70h | time left: 16.69h
batch   5900 | examples/s: 9.44 | loss: 0.93235 | time elapsed: 0.71h | time left: 16.68h
batch   6000 | examples/s: 9.58 | loss: 1.13942 | time elapsed: 0.72h | time left: 16.66h
batch   6100 | examples/s: 9.19 | loss: 1.09685 | time elapsed: 0.73h | time left: 16.65h
batch   6200 | examples/s: 9.63 | loss: 1.20629 | time elapsed: 0.74h | time left: 16.63h
batch   6300 | examples/s: 9.16 | loss: 1.23577 | time elapsed: 0.75h | time left: 16.62h
batch   6400 | examples/s: 9.39 | loss: 1.67848 | time elapsed: 0.77h | time left: 16.60h
batch   6500 | examples/s: 9.42 | loss: 1.20774 | time elapsed: 0.78h | time left: 16.59h
batch   6600 | examples/s: 9.49 | loss: 1.48364 | time elapsed: 0.79h | time left: 16.57h
batch   6700 | examples/s: 9.41 | loss: 1.31685 | time elapsed: 0.80h | time left: 16.56h
batch   6800 | examples/s: 9.54 | loss: 1.32783 | time elapsed: 0.81h | time left: 16.55h
batch   6900 | examples/s: 9.34 | loss: 0.82494 | time elapsed: 0.83h | time left: 16.53h
batch   7000 | examples/s: 9.23 | loss: 0.75485 | time elapsed: 0.84h | time left: 16.52h
batch   7100 | examples/s: 9.42 | loss: 1.11795 | time elapsed: 0.85h | time left: 16.51h
batch   7200 | examples/s: 9.34 | loss: 0.89899 | time elapsed: 0.86h | time left: 16.49h
batch   7300 | examples/s: 9.37 | loss: 1.00741 | time elapsed: 0.87h | time left: 16.48h
batch   7400 | examples/s: 9.36 | loss: 1.10327 | time elapsed: 0.89h | time left: 16.46h
batch   7500 | examples/s: 9.69 | loss: 1.06254 | time elapsed: 0.90h | time left: 16.45h
batch   7600 | examples/s: 9.17 | loss: 1.08075 | time elapsed: 0.91h | time left: 16.43h
batch   7700 | examples/s: 9.35 | loss: 1.08669 | time elapsed: 0.92h | time left: 16.42h
batch   7800 | examples/s: 9.47 | loss: 1.37753 | time elapsed: 0.93h | time left: 16.41h
batch   7900 | examples/s: 9.53 | loss: 1.08725 | time elapsed: 0.94h | time left: 16.39h
batch   8000 | examples/s: 9.69 | loss: 1.39557 | time elapsed: 0.96h | time left: 16.38h
batch   8100 | examples/s: 9.55 | loss: 1.46392 | time elapsed: 0.97h | time left: 16.36h
batch   8200 | examples/s: 9.68 | loss: 0.80512 | time elapsed: 0.98h | time left: 16.35h
batch   8300 | examples/s: 9.46 | loss: 1.02705 | time elapsed: 0.99h | time left: 16.34h
batch   8400 | examples/s: 9.55 | loss: 1.22985 | time elapsed: 1.00h | time left: 16.32h
batch   8500 | examples/s: 9.66 | loss: 0.98540 | time elapsed: 1.02h | time left: 16.31h
batch   8600 | examples/s: 9.42 | loss: 1.01803 | time elapsed: 1.03h | time left: 16.29h
batch   8700 | examples/s: 9.38 | loss: 1.05914 | time elapsed: 1.04h | time left: 16.28h
batch   8800 | examples/s: 9.32 | loss: 1.18856 | time elapsed: 1.05h | time left: 16.27h
batch   8900 | examples/s: 9.45 | loss: 1.10390 | time elapsed: 1.06h | time left: 16.25h
batch   9000 | examples/s: 9.64 | loss: 2.13792 | time elapsed: 1.07h | time left: 16.24h
batch   9100 | examples/s: 9.35 | loss: 1.54910 | time elapsed: 1.09h | time left: 16.23h
batch   9200 | examples/s: 9.54 | loss: 1.01284 | time elapsed: 1.10h | time left: 16.21h
